Ranking,Variable,Tipo,Relaciones_Fuertes,Indice_Redundancia,Nivel_Redundancia,Diagnostico_Redundancia,VIF,Estado_VIF,Diagnostico_VIF,Recomendacion_VIF,Puntaje_Redundancia,Puntaje_Multicolinealidad,Categoria,Importancia,Peso,Puntaje_Conocimiento_Dominio,% Cobertura,Puntaje_Calidad,IPML,Nivel_IPML,Estado_Final,Justificacion
16,SOLIDOS SUSPENDIDOS TOTALES,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,2.722,Baja,Se detecta baja multicolinealidad respecto al conjunto de variables.,Sin señal crítica de multicolinealidad bajo este criterio.,1.0,1.0,Calidad del Agua,Alta,2,0.667,9.47,0.095,0.7763,Media,No Prioritaria,IPML inferior al umbral definido.
17,TEMPERATURA,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,2.965,Baja,Se detecta baja multicolinealidad respecto al conjunto de variables.,Sin señal crítica de multicolinealidad bajo este criterio.,1.0,1.0,Calidad del Agua,Alta,2,0.667,9.47,0.095,0.7763,Media,No Prioritaria,IPML inferior al umbral definido.
18,TURBIDEZ,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,1.645,Baja,Se detecta baja multicolinealidad respecto al conjunto de variables.,Sin señal crítica de multicolinealidad bajo este criterio.,1.0,1.0,Calidad del Agua,Alta,2,0.667,6.44,0.064,0.7732,Media,No Prioritaria,IPML inferior al umbral definido.
19,Anio,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,4.188,Baja,Se detecta baja multicolinealidad respecto al conjunto de variables.,Sin señal crítica de multicolinealidad bajo este criterio.,1.0,1.0,Temporal,Media,1,0.333,100.0,1.0,0.7332,Media,No Prioritaria,IPML inferior al umbral definido.
20,CALIDAD DEL AGUA,Numérica,1,0.5,Moderada,Participa en un nivel intermedio de relaciones fuertes detectadas.,6.742,Moderada,Se detecta multicolinealidad moderada respecto al conjunto de variables.,Mantener bajo observación dentro de la evaluación multivariable.,0.5,0.75,Calidad del Agua,Muy Alta,3,1.0,18.18,0.182,0.7182,Media,No Prioritaria,IPML inferior al umbral definido.
21,COBERTURA DE ALCANTARILLADO URBANO,Numérica,1,0.5,Moderada,Participa en un nivel intermedio de relaciones fuertes detectadas.,3.032,Baja,Se detecta baja multicolinealidad respecto al conjunto de variables.,Sin señal crítica de multicolinealidad bajo este criterio.,0.5,1.0,Infraestructura,Alta,2,0.667,100.0,1.0,0.7168,Media,No Prioritaria,IPML inferior al umbral definido.
22,ACCESO A AGUA POTABLE ADECUADO,Numérica,1,0.5,Moderada,Participa en un nivel intermedio de relaciones fuertes detectadas.,37.091,Muy Alta,Se detecta multicolinealidad muy alta respecto al conjunto de variables.,Revisar multicolinealidad muy alta en conjunto con los demás criterios.,0.5,0.25,Infraestructura,Muy Alta,3,1.0,100.0,1.0,0.7,Media,No Prioritaria,IPML inferior al umbral definido.
23,Temp_Max_C,Numérica,1,0.5,Moderada,Participa en un nivel intermedio de relaciones fuertes detectadas.,36.388,Muy Alta,Se detecta multicolinealidad muy alta respecto al conjunto de variables.,Revisar multicolinealidad muy alta en conjunto con los demás criterios.,0.5,0.25,Climática,Muy Alta,3,1.0,100.0,1.0,0.7,Media,No Prioritaria,IPML inferior al umbral definido.
24,Temp_Media_C,Numérica,1,0.5,Moderada,Participa en un nivel intermedio de relaciones fuertes detectadas.,82.34,Muy Alta,Se detecta multicolinealidad muy alta respecto al conjunto de variables.,Revisar multicolinealidad muy alta en conjunto con los demás criterios.,0.5,0.25,Climática,Muy Alta,3,1.0,100.0,1.0,0.7,Media,No Prioritaria,IPML inferior al umbral definido.
25,CONTINUIDAD DE ACUEDUCTO URBANO,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,,No Calculado,VIF no calculable por varianza nula de la variable.,Evaluar por separado debido a varianza nula; el VIF no es calculable.,1.0,0.5,Infraestructura,Alta,2,0.667,18.18,0.182,0.685,Baja,No Prioritaria,IPML inferior al umbral definido.
26,NITROGENO TOTAL,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,10.278,Alta,Se detecta multicolinealidad alta respecto al conjunto de variables.,Considerar la dependencia lineal en la evaluación posterior.,1.0,0.5,Calidad del Agua,Alta,2,0.667,5.49,0.055,0.6723,Baja,No Prioritaria,IPML inferior al umbral definido.
27,COBERTURA DE ALCANTARILLADO RURAL,Numérica,1,0.5,Moderada,Participa en un nivel intermedio de relaciones fuertes detectadas.,7.181,Moderada,Se detecta multicolinealidad moderada respecto al conjunto de variables.,Mantener bajo observación dentro de la evaluación multivariable.,0.5,0.75,Infraestructura,Alta,2,0.667,100.0,1.0,0.6668,Baja,No Prioritaria,IPML inferior al umbral definido.
28,AGUAS RESIDUALES TRATADAS,Numérica,2,1.0,Muy Alta,Participa en el máximo relativo de relaciones fuertes detectadas.,5.555,Moderada,Se detecta multicolinealidad moderada respecto al conjunto de variables.,Mantener bajo observación dentro de la evaluación multivariable.,0.0,0.75,Infraestructura,Muy Alta,3,1.0,18.18,0.182,0.5682,Baja,No Prioritaria,IPML inferior al umbral definido.
29,COBERTURA DE ACUEDUCTO RURAL,Numérica,1,0.5,Moderada,Participa en un nivel intermedio de relaciones fuertes detectadas.,32.439,Muy Alta,Se detecta multicolinealidad muy alta respecto al conjunto de variables.,Revisar multicolinealidad muy alta en conjunto con los demás criterios.,0.5,0.25,Infraestructura,Alta,2,0.667,100.0,1.0,0.5668,Baja,No Prioritaria,IPML inferior al umbral definido.
30,COBERTURA DE ACUEDUCTO URBANO,Numérica,1,0.5,Moderada,Participa en un nivel intermedio de relaciones fuertes detectadas.,42.952,Muy Alta,Se detecta multicolinealidad muy alta respecto al conjunto de variables.,Revisar multicolinealidad muy alta en conjunto con los demás criterios.,0.5,0.25,Infraestructura,Alta,2,0.667,100.0,1.0,0.5668,Baja,No Prioritaria,IPML inferior al umbral definido.
31,DENSIDAD POBLACIONAL,Numérica,1,0.5,Moderada,Participa en un nivel intermedio de relaciones fuertes detectadas.,1329.161,Muy Alta,Se detecta multicolinealidad muy alta respecto al conjunto de variables.,Revisar multicolinealidad muy alta en conjunto con los demás criterios.,0.5,0.25,Demográfica,Alta,2,0.667,100.0,1.0,0.5668,Baja,No Prioritaria,IPML inferior al umbral definido.
32,POBLACION TOTAL,Numérica,1,0.5,Moderada,Participa en un nivel intermedio de relaciones fuertes detectadas.,1182.398,Muy Alta,Se detecta multicolinealidad muy alta respecto al conjunto de variables.,Revisar multicolinealidad muy alta en conjunto con los demás criterios.,0.5,0.25,Demográfica,Alta,2,0.667,100.0,1.0,0.5668,Baja,No Prioritaria,IPML inferior al umbral definido.
33,FOSFORO TOTAL,Numérica,1,0.5,Moderada,Participa en un nivel intermedio de relaciones fuertes detectadas.,14.559,Alta,Se detecta multicolinealidad alta respecto al conjunto de variables.,Considerar la dependencia lineal en la evaluación posterior.,0.5,0.5,Calidad del Agua,Alta,2,0.667,9.28,0.093,0.5261,Baja,No Prioritaria,IPML inferior al umbral definido.
34,CONDUCTIVIDAD ELECTRICA,Numérica,1,0.5,Moderada,Participa en un nivel intermedio de relaciones fuertes detectadas.,22.148,Muy Alta,Se detecta multicolinealidad muy alta respecto al conjunto de variables.,Revisar multicolinealidad muy alta en conjunto con los demás criterios.,0.5,0.25,Calidad del Agua,Alta,2,0.667,9.47,0.095,0.4763,Baja,No Prioritaria,IPML inferior al umbral definido.
