Variable,Tipo,Relaciones_Fuertes,Indice_Redundancia,Nivel_Redundancia,Diagnostico_Redundancia,VIF,Estado_VIF,Diagnostico_VIF,Recomendacion_VIF,Categoria,Importancia,Peso,Puntaje_Conocimiento_Dominio,% Cobertura,Puntaje_Calidad,Puntaje_Redundancia,Puntaje_Multicolinealidad
Precipitacion_mm,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,1.99,Baja,Se detecta baja multicolinealidad respecto al conjunto de variables.,Sin señal crítica de multicolinealidad bajo este criterio.,Climática,Muy Alta,3,1.0,100.0,1.0,1.0,1.0
Temp_Max_C,Numérica,1,0.5,Moderada,Participa en un nivel intermedio de relaciones fuertes detectadas.,36.388,Muy Alta,Se detecta multicolinealidad muy alta respecto al conjunto de variables.,Revisar multicolinealidad muy alta en conjunto con los demás criterios.,Climática,Muy Alta,3,1.0,100.0,1.0,0.5,0.25
Temp_Min_C,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,13.221,Alta,Se detecta multicolinealidad alta respecto al conjunto de variables.,Considerar la dependencia lineal en la evaluación posterior.,Climática,Muy Alta,3,1.0,100.0,1.0,1.0,0.5
Temp_Media_C,Numérica,1,0.5,Moderada,Participa en un nivel intermedio de relaciones fuertes detectadas.,82.34,Muy Alta,Se detecta multicolinealidad muy alta respecto al conjunto de variables.,Revisar multicolinealidad muy alta en conjunto con los demás criterios.,Climática,Muy Alta,3,1.0,100.0,1.0,0.5,0.25
Humedad_Relativa,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,9.391,Moderada,Se detecta multicolinealidad moderada respecto al conjunto de variables.,Mantener bajo observación dentro de la evaluación multivariable.,Climática,Muy Alta,3,1.0,100.0,1.0,1.0,0.75
Velocidad_Viento,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,2.574,Baja,Se detecta baja multicolinealidad respecto al conjunto de variables.,Sin señal crítica de multicolinealidad bajo este criterio.,Climática,Alta,2,0.667,100.0,1.0,1.0,1.0
Radiacion_Solar,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,2.449,Baja,Se detecta baja multicolinealidad respecto al conjunto de variables.,Sin señal crítica de multicolinealidad bajo este criterio.,Climática,Muy Alta,3,1.0,100.0,1.0,1.0,1.0
Anio,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,4.188,Baja,Se detecta baja multicolinealidad respecto al conjunto de variables.,Sin señal crítica de multicolinealidad bajo este criterio.,Temporal,Media,1,0.333,100.0,1.0,1.0,1.0
Mes,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,1.25,Baja,Se detecta baja multicolinealidad respecto al conjunto de variables.,Sin señal crítica de multicolinealidad bajo este criterio.,Temporal,Alta,2,0.667,100.0,1.0,1.0,1.0
ONI,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,2.084,Baja,Se detecta baja multicolinealidad respecto al conjunto de variables.,Sin señal crítica de multicolinealidad bajo este criterio.,Variabilidad Climática,Muy Alta,3,1.0,100.0,1.0,1.0,1.0
VolumenUtilDiarioMasa,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,2.114,Baja,Se detecta baja multicolinealidad respecto al conjunto de variables.,Sin señal crítica de multicolinealidad bajo este criterio.,Hidrológica,Muy Alta,3,1.0,63.64,0.636,1.0,1.0
irca,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,2.144,Baja,Se detecta baja multicolinealidad respecto al conjunto de variables.,Sin señal crítica de multicolinealidad bajo este criterio.,Calidad del Agua,Muy Alta,3,1.0,100.0,1.0,1.0,1.0
POBLACION TOTAL,Numérica,1,0.5,Moderada,Participa en un nivel intermedio de relaciones fuertes detectadas.,1182.398,Muy Alta,Se detecta multicolinealidad muy alta respecto al conjunto de variables.,Revisar multicolinealidad muy alta en conjunto con los demás criterios.,Demográfica,Alta,2,0.667,100.0,1.0,0.5,0.25
DENSIDAD POBLACIONAL,Numérica,1,0.5,Moderada,Participa en un nivel intermedio de relaciones fuertes detectadas.,1329.161,Muy Alta,Se detecta multicolinealidad muy alta respecto al conjunto de variables.,Revisar multicolinealidad muy alta en conjunto con los demás criterios.,Demográfica,Alta,2,0.667,100.0,1.0,0.5,0.25
INDICE DE DESEMPENO INSTITUCIONAL,Numérica,2,1.0,Muy Alta,Participa en el máximo relativo de relaciones fuertes detectadas.,8.381,Moderada,Se detecta multicolinealidad moderada respecto al conjunto de variables.,Mantener bajo observación dentro de la evaluación multivariable.,Institucional,Alta,2,0.667,9.09,0.091,0.0,0.75
