Variable,Tipo,Relaciones_Fuertes,Indice_Redundancia,Nivel_Redundancia,Diagnostico_Redundancia,VIF,Estado_VIF,Diagnostico_VIF,Recomendacion_VIF
Precipitacion_mm,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,1.99,Baja,Se detecta baja multicolinealidad respecto al conjunto de variables.,Sin señal crítica de multicolinealidad bajo este criterio.
Temp_Max_C,Numérica,1,0.5,Moderada,Participa en un nivel intermedio de relaciones fuertes detectadas.,36.388,Muy Alta,Se detecta multicolinealidad muy alta respecto al conjunto de variables.,Revisar multicolinealidad muy alta en conjunto con los demás criterios.
Temp_Min_C,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,13.221,Alta,Se detecta multicolinealidad alta respecto al conjunto de variables.,Considerar la dependencia lineal en la evaluación posterior.
Temp_Media_C,Numérica,1,0.5,Moderada,Participa en un nivel intermedio de relaciones fuertes detectadas.,82.34,Muy Alta,Se detecta multicolinealidad muy alta respecto al conjunto de variables.,Revisar multicolinealidad muy alta en conjunto con los demás criterios.
Humedad_Relativa,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,9.391,Moderada,Se detecta multicolinealidad moderada respecto al conjunto de variables.,Mantener bajo observación dentro de la evaluación multivariable.
Velocidad_Viento,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,2.574,Baja,Se detecta baja multicolinealidad respecto al conjunto de variables.,Sin señal crítica de multicolinealidad bajo este criterio.
Radiacion_Solar,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,2.449,Baja,Se detecta baja multicolinealidad respecto al conjunto de variables.,Sin señal crítica de multicolinealidad bajo este criterio.
Anio,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,4.188,Baja,Se detecta baja multicolinealidad respecto al conjunto de variables.,Sin señal crítica de multicolinealidad bajo este criterio.
Mes,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,1.25,Baja,Se detecta baja multicolinealidad respecto al conjunto de variables.,Sin señal crítica de multicolinealidad bajo este criterio.
ONI,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,2.084,Baja,Se detecta baja multicolinealidad respecto al conjunto de variables.,Sin señal crítica de multicolinealidad bajo este criterio.
