Ranking,Variable,Tipo,Relaciones_Fuertes,Indice_Redundancia,Nivel_Redundancia,Diagnostico_Redundancia,VIF,Estado_VIF,Diagnostico_VIF,Recomendacion_VIF,Puntaje_Redundancia,Puntaje_Multicolinealidad,Categoria,Importancia,Peso,Puntaje_Conocimiento_Dominio,% Cobertura,Puntaje_Calidad,IPML,Nivel_IPML,Estado_Final,Justificacion
1,ONI,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,2.084,Baja,Se detecta baja multicolinealidad respecto al conjunto de variables.,Sin señal crítica de multicolinealidad bajo este criterio.,1.0,1.0,Variabilidad Climática,Muy Alta,3,1.0,100.0,1.0,1.0,Muy Alta,Seleccionada,Cumple todos los criterios del Framework.
2,PORCENTAJE DE LA POBLACION CON ACCESO A METODOS DE SANEAMIENTO ADECUADOS,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,3.619,Baja,Se detecta baja multicolinealidad respecto al conjunto de variables.,Sin señal crítica de multicolinealidad bajo este criterio.,1.0,1.0,Infraestructura,Muy Alta,3,1.0,100.0,1.0,1.0,Muy Alta,Seleccionada,Cumple todos los criterios del Framework.
3,Precipitacion_mm,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,1.99,Baja,Se detecta baja multicolinealidad respecto al conjunto de variables.,Sin señal crítica de multicolinealidad bajo este criterio.,1.0,1.0,Climática,Muy Alta,3,1.0,100.0,1.0,1.0,Muy Alta,Seleccionada,Cumple todos los criterios del Framework.
4,Radiacion_Solar,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,2.449,Baja,Se detecta baja multicolinealidad respecto al conjunto de variables.,Sin señal crítica de multicolinealidad bajo este criterio.,1.0,1.0,Climática,Muy Alta,3,1.0,100.0,1.0,1.0,Muy Alta,Seleccionada,Cumple todos los criterios del Framework.
5,irca,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,2.144,Baja,Se detecta baja multicolinealidad respecto al conjunto de variables.,Sin señal crítica de multicolinealidad bajo este criterio.,1.0,1.0,Calidad del Agua,Muy Alta,3,1.0,100.0,1.0,1.0,Muy Alta,Seleccionada,Cumple todos los criterios del Framework.
6,VolumenUtilDiarioMasa,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,2.114,Baja,Se detecta baja multicolinealidad respecto al conjunto de variables.,Sin señal crítica de multicolinealidad bajo este criterio.,1.0,1.0,Hidrológica,Muy Alta,3,1.0,63.64,0.636,0.9636,Muy Alta,Seleccionada,Cumple todos los criterios del Framework.
7,Humedad_Relativa,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,9.391,Moderada,Se detecta multicolinealidad moderada respecto al conjunto de variables.,Mantener bajo observación dentro de la evaluación multivariable.,1.0,0.75,Climática,Muy Alta,3,1.0,100.0,1.0,0.95,Muy Alta,Seleccionada,Cumple todos los criterios del Framework.
12,Temp_Min_C,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,13.221,Alta,Se detecta multicolinealidad alta respecto al conjunto de variables.,Considerar la dependencia lineal en la evaluación posterior.,1.0,0.5,Climática,Muy Alta,3,1.0,100.0,1.0,0.9,Muy Alta,Seleccionada,Cumple todos los criterios del Framework.
13,Mes,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,1.25,Baja,Se detecta baja multicolinealidad respecto al conjunto de variables.,Sin señal crítica de multicolinealidad bajo este criterio.,1.0,1.0,Temporal,Alta,2,0.667,100.0,1.0,0.8668,Alta,Seleccionada,Cumple todos los criterios del Framework.
14,Velocidad_Viento,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,2.574,Baja,Se detecta baja multicolinealidad respecto al conjunto de variables.,Sin señal crítica de multicolinealidad bajo este criterio.,1.0,1.0,Climática,Alta,2,0.667,100.0,1.0,0.8668,Alta,Seleccionada,Cumple todos los criterios del Framework.
